date,hotel_id,rooms_available,rooms_sold,adr,cancellations,no_shows,upgrades,avg_length_of_stay,group_rooms_sold,corporate_rooms_sold,direct_rooms_sold,ota_rooms_sold,market_occ,market_adr,marketing_spend,ota_commission,payroll_cost,utility_cost,nps,review_score,rain_mm,event_flag,loyalty_signups,fnb_revenue
5/1/2025,1001,120,84,5082.2,7,2,1,1.36,23,17,20,24,0.6768,5070.65,51318.48,17021.98,232644.15,197809.2,40,4.5,0,1,0,47638.17
5/2/2025,1001,120,92,5573.2,11,1,2,1.71,10,34,15,33,0.7921,5050.31,76608.5,29467.55,152297.19,185470.98,67,3.6,7.3,0,3,35036.94
5/3/2025,1001,120,85,5280.6,9,1,3,1.6,21,21,19,24,0.7029,4927.24,24250.48,18389.66,338517.63,84387.07,14,3.9,5.1,0,3,47286.15
5/4/2025,1001,120,90,4981.2,3,0,2,1.53,12,40,11,27,0.7518,4978.18,55648.63,16907.81,201158.49,115866.43,47,4.9,0,1,2,54249.22
5/5/2025,1001,120,84,5390.18,2,0,2,1.34,16,34,18,16,0.7003,5287.69,79068.51,10526.05,151972.41,92358.33,48,3.4,3.5,0,1,31228.78
5/6/2025,1001,120,82,5042.38,4,5,0,1.32,17,22,20,23,0.6634,5266.78,56314.26,15693.53,374444.13,112401.55,53,4,3,0,1,55972.83
5/7/2025,1001,120,88,5506.22,5,0,6,1.31,15,34,17,22,0.7215,5200.79,32986.69,19254.04,283854.27,145376.45,44,3.3,0,0,6,68405.04
5/8/2025,1001,120,74,5238.02,5,1,1,1.76,11,21,14,28,0.6221,5125.21,75072.41,23496.51,258387.66,141330.49,51,4.3,0,0,0,45805.45
5/9/2025,1001,120,95,5350.64,6,2,1,1.4,20,27,15,33,0.8209,5433.53,27895.15,27085.7,198535.73,162474.13,51,3.9,2.8,0,3,49675.07
5/10/2025,1001,120,91,5142.53,5,1,1,1.35,23,30,21,17,0.7429,5126.04,38083.15,13615.7,215408.58,108098.47,26,4.1,2.6,0,1,71055.79
5/11/2025,1001,120,87,5191.13,5,2,0,1.6,18,37,18,14,0.6925,4906.28,43242.06,12999.83,219456.83,76776.06,27,3.6,0,0,5,60303
5/12/2025,1001,120,71,5252.8,2,1,2,1.49,18,28,6,19,0.5991,5258.82,60499.54,15164.98,156732.29,89677.55,45,4.2,1.4,0,1,38277.31
5/13/2025,1001,120,78,5438.17,4,2,0,1.57,14,26,13,25,0.6764,5609.01,69601.4,18580.2,120086.45,62476.29,35,4.4,9.6,0,1,32011.3
5/14/2025,1001,120,82,5402.92,6,1,1,1.76,17,23,25,17,0.6904,5149.71,43714.44,13917.99,165990.66,114191.03,36,4.4,0,0,1,29815.19
5/15/2025,1001,120,87,5461.01,6,1,2,1.79,9,35,21,22,0.7177,5698.2,17150.47,15376.86,291259.96,191996.36,45,4.4,8.1,0,1,48223.2
5/16/2025,1001,120,91,5568.68,5,0,3,1.5,16,21,10,44,0.7599,5705.56,39700.78,30412.82,141480.59,132052.06,41,4.4,1.9,0,2,32341.76
5/17/2025,1001,120,89,5285.72,8,0,1,2.32,12,21,18,38,0.7252,5493.17,44723.35,32249.44,123305.87,198938.16,45,4.2,0,0,3,45097.03
5/18/2025,1001,120,92,4986.94,6,1,3,2.05,24,37,21,10,0.7638,4608.57,66822.66,7654.09,312845.14,183403.11,51,4.5,5.9,0,2,45327.29
5/19/2025,1001,120,76,5008.4,1,1,0,1.5,17,22,15,22,0.624,4809.81,45707.68,19001.99,308085.24,74579.23,46,4.5,6.2,1,2,36991.58
5/20/2025,1001,120,75,5165.53,9,2,1,1.38,17,29,20,9,0.6125,4783.4,44731.65,7357.16,166345.64,156027.58,8,4.3,1.5,0,1,56396.75
5/21/2025,1001,120,83,5536.31,6,1,1,2.04,10,24,18,31,0.6802,5019.71,29300.39,20968.75,191659.21,170197.72,31,3.7,2.7,1,4,65551.36
5/22/2025,1001,120,75,5143.23,7,1,1,2.29,16,26,16,17,0.6555,4770.1,60400.56,10607.78,228677.38,72437.63,38,4.4,0,0,4,55205.09
5/23/2025,1001,120,93,4927.76,3,1,0,1.39,21,32,16,24,0.7468,4623.83,49212.76,20909.26,315189.67,138117.3,38,4.5,0,0,2,69608.54
5/24/2025,1001,120,97,5027.37,10,3,1,1.64,7,19,29,42,0.8418,4651.97,51867.88,31761.79,128679.74,110917.04,26,4.3,0.8,0,5,68833.87
5/25/2025,1001,120,91,4991.66,4,0,0,1.52,17,31,18,25,0.7542,5170.38,23388.23,20513.27,279582.13,120970.76,48,4.4,0.1,0,1,62023.57
5/26/2025,1001,120,79,5072.26,3,0,1,1.96,15,27,21,16,0.6864,4565.18,37283.16,10562.06,218670.75,91742.25,52,4.5,12.3,0,3,28449.77
5/27/2025,1001,120,72,5470.33,5,1,2,1.46,15,27,22,8,0.5742,5643.11,33128.56,7554.99,208505.52,198463.97,40,3.8,0,0,5,30030.64
5/28/2025,1001,120,77,5577.49,5,2,2,1.36,6,21,10,40,0.6704,5022.18,52285.02,27304.26,355918.84,93439.93,38,3.9,1.4,0,4,45229.01
5/29/2025,1001,120,77,5218.79,2,1,3,1.86,14,34,14,15,0.6671,5222.14,57222.55,10606.44,197149.19,160580.09,32,4.4,2.6,0,3,47988.33
5/30/2025,1001,120,97,5009.1,5,1,2,2.14,32,35,15,15,0.8302,4906.41,79388.43,12753.76,333203.28,157283.53,43,3.6,4.3,0,3,72248.12
5/31/2025,1001,120,89,5180.03,1,2,4,1.47,16,38,36,0,0.7161,5163.77,63333.48,0,366127.55,107567.64,43,4.1,1.2,1,2,33244.25
6/1/2025,1001,120,90,5164.84,5,1,2,1.47,16,25,7,42,0.7463,5419.1,16174.12,33129.17,277788.11,81221.8,50,4.2,14.3,0,4,62207.47
6/2/2025,1001,120,74,5448.79,2,1,1,1.53,8,34,15,17,0.5981,5600.73,73486,15066.48,154416.82,143022.03,42,4.1,16.2,0,3,44612.95
6/3/2025,1001,120,89,5517.36,2,0,1,2.07,12,13,10,54,0.752,5455.08,43353.84,50171.29,378991.97,68326.02,51,4.1,13.4,0,4,62006.03
6/4/2025,1001,120,89,5341.43,3,0,2,1.66,14,30,20,25,0.7603,4890.93,60620.46,19221.92,192886.96,156236.89,49,3.7,7.6,0,3,39716.92
6/5/2025,1001,120,82,5284.97,5,0,2,1.51,16,24,11,31,0.7037,4905.39,70685.34,26735.68,238026.18,175000.48,53,3.8,6.9,0,5,38555.2
6/6/2025,1001,120,96,5295.74,1,2,1,1.6,18,32,27,19,0.8367,5515.23,36411.96,14624.27,363443.5,154519.61,37,4.2,8.8,0,3,52731.4
6/7/2025,1001,120,90,4990.34,5,1,1,1.7,22,38,23,7,0.7098,5134.28,48644.86,4581.78,228107.35,160751.53,65,3.8,8.8,0,4,57962
6/8/2025,1001,120,91,4936.82,5,0,0,1.23,17,23,27,24,0.785,4640.62,71435.29,19371.08,130830.77,115670.66,33,4.5,3.9,0,6,52186.83
6/9/2025,1001,120,79,5054.99,5,3,3,2.14,18,27,18,16,0.6637,4908.45,57014.96,9995.38,271374.28,198629.25,48,4,10.1,0,1,50954.99
6/10/2025,1001,120,78,5070.57,9,1,0,1.79,18,24,15,21,0.6383,5142.39,76434.98,15041.23,370200.65,146927.2,69,4.3,7.4,0,2,30267.72
6/11/2025,1001,120,80,5154.51,8,1,1,1.62,18,20,25,17,0.6977,5386.77,69795.53,12580.36,321003.15,103399.99,51,3.9,0.7,1,0,60055.32
6/12/2025,1001,120,91,5239.61,6,1,2,2.31,8,24,21,38,0.7209,4761,29288.36,29201.16,281730.29,198941.92,35,3.4,16.4,0,2,68420.97
6/13/2025,1001,120,102,5469.41,5,3,0,1.91,15,34,28,25,0.8265,5131.92,51566.17,18834.13,128530.5,149045.95,39,4.4,0,0,1,49070.99
6/14/2025,1001,120,88,4922.47,6,1,1,1.41,13,35,19,21,0.6988,4571.34,61220.73,14327.88,286565.25,118232.15,20,4.1,0,0,4,32117.42
6/15/2025,1001,120,92,5031.45,2,0,1,2.02,22,29,23,18,0.7442,4664.3,66246.27,11401.73,151727.93,77517.54,55,4.7,0,0,4,63579.88
6/16/2025,1001,120,80,5482.94,6,1,1,1.93,20,26,13,21,0.666,5515.45,47851.42,17508.15,231694.95,103236.82,39,3.6,11.4,0,1,39627.28
6/17/2025,1001,120,81,5205.3,4,3,1,1.92,14,28,22,17,0.6547,4962.62,33342.38,11064.37,296160.65,70095.55,41,4.1,3.3,1,2,32579.84
6/18/2025,1001,120,79,5263.32,3,2,2,1.31,11,30,24,14,0.6599,5281.56,51675.18,9478.77,164748.76,189573.11,44,4.1,3,0,2,54205.89
6/19/2025,1001,120,76,5337.78,5,3,2,1.51,13,28,16,19,0.639,5556.35,60800.81,13511.8,280484.75,163517.15,49,4.5,10.6,0,1,36326.9
6/20/2025,1001,120,86,5060.54,7,3,1,1.9,6,38,27,15,0.7107,4807.29,36829.9,13139.54,248310.26,99662.67,52,4.1,14.4,0,2,47303.45
6/21/2025,1001,120,85,5312.72,9,2,0,1.83,17,22,6,40,0.6768,4948.82,59907.2,29084.44,122988.04,117228.82,43,4.3,5.2,0,2,35350.8
6/22/2025,1001,120,88,5266.55,8,1,1,2.14,21,30,21,16,0.7234,5104.75,10927.57,12207.53,196945.15,124286.49,64,4,6.3,0,1,38174.44
6/23/2025,1001,120,80,5579.11,3,3,4,2.11,22,35,15,8,0.6895,5589.41,62751.62,6458.91,172953.46,105857.3,45,3.8,16.5,1,4,54105.53
6/24/2025,1001,120,77,5001.38,1,0,0,2,15,26,9,27,0.6441,5116.86,43904.11,19482.37,123475.6,117363.49,47,4.2,8.2,0,4,40285.9
6/25/2025,1001,120,81,5391.02,2,0,2,2.14,22,17,11,31,0.6419,5134.9,36545.86,29372.85,336155.6,177925.57,51,3.8,15.5,0,2,34758.36
6/26/2025,1001,120,83,5489.2,8,2,2,1.76,13,37,20,13,0.682,5281.96,37034.84,11614.96,273011.28,85952.19,57,4.4,1.6,0,0,57136.81
6/27/2025,1001,120,98,5444.88,9,8,2,1.71,17,37,26,18,0.7909,5077.82,28480.3,14489.43,227962.65,184384.98,55,3.7,13.6,0,1,75382.27
6/28/2025,1001,120,84,4962.32,6,3,2,1.85,8,36,23,17,0.7118,4569.13,49863.91,13052.98,345786.8,113077.87,36,4.7,9.8,0,2,49548.5
6/29/2025,1001,120,89,5221.67,2,0,2,2.05,9,33,21,26,0.7541,5446.36,50914.99,23473.07,336785.91,149960.87,61,4.3,8,0,3,35624.61
6/30/2025,1001,120,81,5332.07,3,0,2,1.68,22,24,14,21,0.673,5115.55,72432.52,17933.49,199573.38,137262.8,36,3.7,10.9,0,3,63802.62
4/1/2025,1002,150,88,8135.82,5,0,3,2.26,14,34,27,13,0.5669,7906.19,31253.68,17645.25,201039.36,60439.73,46,3.2,11.9,0,3,61587.59
4/2/2025,1002,150,87,7820.41,5,2,2,2.17,24,28,26,9,0.594,7640.03,38194.31,12118.4,372261.19,190525.19,31,3.5,6.2,1,0,37090.1
4/3/2025,1002,150,102,8058.2,7,3,4,1.43,22,44,33,3,0.6474,7707.5,28575.91,3237.54,264127.74,87930.74,49,4,12.1,0,2,74102.08
4/4/2025,1002,150,109,7642.59,7,1,1,1.5,24,48,23,14,0.7541,7095.16,58693.73,18760.94,278800.39,87977.78,27,4.5,10.5,0,2,65379.7
4/5/2025,1002,150,107,7646.35,7,0,2,1.88,18,51,20,18,0.7154,7279.58,65613.66,20113.7,192313.58,79915.73,50,3.8,0,0,3,78375.5
4/6/2025,1002,150,107,7663.35,8,1,0,1.81,22,27,30,28,0.6995,7020.08,61079.83,31414.34,364457.41,144531.58,38,4.8,3.1,0,3,73829.38
4/7/2025,1002,150,89,7398.79,6,1,0,1.35,13,18,22,36,0.619,7528.45,53186.08,43145.01,344501.09,91228.69,43,4.1,3,0,3,66566.85
4/8/2025,1002,150,85,8141.1,1,0,2,2.03,16,32,17,20,0.5699,7550.06,50353.07,20902.43,318089.74,169410.79,27,3.6,7.5,1,2,47272.76
4/9/2025,1002,150,91,7954.77,5,0,1,2.36,15,34,14,28,0.6306,7215.12,40672.37,30999.87,353807.69,194716.6,43,4,0,1,3,48439.9
4/10/2025,1002,150,85,7397.99,5,0,3,2.1,10,26,18,31,0.5832,7100.11,72551.62,33628.76,291094.3,61128.27,55,3.7,0,0,3,41745.72
4/11/2025,1002,150,110,8304.11,10,0,0,1.48,18,34,15,43,0.7315,7852.98,14598.45,47093.32,350651.02,118778.82,31,3.8,0,0,3,80187.53
4/12/2025,1002,150,99,8004.25,3,0,0,1.84,13,39,10,37,0.6265,7278.12,49625.02,45052.03,315377.77,78475.14,35,3.7,0,0,7,40025.12
4/13/2025,1002,150,104,8040.43,4,2,1,1.84,24,25,12,43,0.669,7442.98,50938.7,58651.56,207758.44,172399.17,37,3.8,2.4,0,1,54315.47
4/14/2025,1002,150,96,7813.64,2,1,1,2.15,13,28,30,25,0.6355,7757.5,45049.76,31239.3,287663.92,63294.55,49,4.3,8.5,0,1,33277.03
4/15/2025,1002,150,107,7630.4,4,4,5,2.02,19,45,32,11,0.6948,7611.81,18540.52,11141.46,302359.65,75881.71,16,4.2,3.6,0,9,45669.5
4/16/2025,1002,150,87,7748.93,5,0,1,1.84,14,28,18,27,0.6009,7947.22,18838.98,26705.45,331492.97,189395.6,53,3.9,8,0,3,32103.67
4/17/2025,1002,150,87,7372.43,5,2,3,1.61,15,27,24,21,0.5675,7162.09,44232.5,21535.34,343484.66,142922.19,50,4.2,0,0,2,59660.77
4/18/2025,1002,150,100,7354.72,11,4,3,1.6,18,35,21,26,0.671,6919.08,51901.66,27526.5,289766.91,81548.73,54,3.5,6.7,0,1,38302.63
4/19/2025,1002,150,99,7420.75,3,1,1,1.74,18,34,22,25,0.6295,7362.11,42021.01,29123.81,223206.47,123753.64,42,4.6,6.5,0,0,47700.45
4/20/2025,1002,150,102,7602.06,5,2,1,1.51,15,49,24,14,0.6884,7011.03,71513.85,13870.35,265171.6,181791.3,22,4.5,4.2,0,2,76248.33
4/21/2025,1002,150,93,7648.43,6,0,2,1.77,24,32,12,25,0.6084,7583.85,18152.13,23221.89,153045.02,86499.71,43,4,1.8,0,0,66011.84
4/22/2025,1002,150,94,8143.75,6,0,2,1.98,22,14,25,33,0.6371,7344.45,61960.55,34554.43,183482.02,143721.28,48,4.1,6.6,0,3,72235.61
4/23/2025,1002,150,107,7987.09,5,0,3,1.42,24,44,29,10,0.6791,8300.25,30013.04,10021.28,294821.35,83782.16,48,3.8,3.1,0,5,68870.31
4/24/2025,1002,150,103,7937.26,6,1,2,1.95,29,39,32,3,0.6563,7375.43,29085.55,4015.33,310206.15,112096.83,61,3.7,1.1,0,4,79241.24
4/25/2025,1002,150,107,7505.42,4,2,1,2.05,11,25,19,52,0.6835,7686.48,43111.93,52794.35,131261.97,157907.53,39,4,1,0,1,62801.01
4/26/2025,1002,150,100,7560.21,4,1,1,1.68,16,21,27,36,0.665,6942.19,32125.44,42263.69,283011.79,173175.28,46,4.4,5.7,0,1,48018.77
4/27/2025,1002,150,108,7615.39,3,1,0,1.68,17,26,18,47,0.7099,7490.58,56379.75,58134.22,330006.63,184027.96,25,4.3,0.8,0,5,53240.73
4/28/2025,1002,150,88,7361.09,0,4,1,1.74,11,42,14,21,0.6017,7030.17,24460.67,19915.47,201449.28,149049.58,42,4.2,2.6,0,1,52798.59
4/29/2025,1002,150,94,8177.82,2,0,0,1.47,17,25,26,26,0.6509,7479.65,32971.21,36401.06,133980.8,153709.98,51,4.4,0,0,2,58601.35
4/30/2025,1002,150,84,8166.19,8,1,0,1.68,20,31,23,10,0.5673,7841.73,31551.19,12630.61,244072.02,171028.82,48,4.4,9.3,1,2,67009.91
5/1/2025,1002,150,98,7478.2,8,0,4,1.56,8,30,14,46,0.625,6867.11,14419.09,49862.99,223156.31,126360.88,73,4.3,16.4,0,6,44477.44
5/2/2025,1002,150,104,8017.53,7,0,2,1.9,17,40,18,29,0.7249,7345.69,62518.26,31146.4,191371.74,147452.96,44,4.5,0.6,0,4,32150.3
5/3/2025,1002,150,106,7734.72,8,0,1,2.31,20,26,11,49,0.741,7898.54,47592.89,62248.94,338399.42,107505.2,39,4,0,0,1,76130.31
5/4/2025,1002,150,104,7810.27,5,1,4,2.19,20,30,33,21,0.7,7850.41,41304.07,21593.7,335753.53,151661.55,42,4.9,2.8,0,5,69977.32
5/5/2025,1002,150,100,8126.84,9,1,1,1.84,19,47,26,8,0.6923,8068.93,58216.74,11019.24,263503.45,93857.35,33,4.3,5.5,0,1,57274.52
5/6/2025,1002,150,83,8155.43,2,1,2,1.8,16,17,15,35,0.5729,7759.29,49928.66,36162.2,271206.69,160057.39,39,4.7,10.8,0,2,61113.97
5/7/2025,1002,150,99,7568.34,9,0,2,2.43,17,40,24,18,0.6399,7852.79,30946.24,20872.31,232023.15,103706.86,38,4,0.8,0,1,48533.85
5/8/2025,1002,150,80,7919.69,1,0,0,2,18,22,22,18,0.5553,7764.03,57647.07,22394.95,293350.2,131535.9,47,4.1,5.6,0,4,43890.16
5/9/2025,1002,150,97,7498.34,7,2,1,1.82,23,47,29,0,0.6261,7706.12,34926.52,0,296899.95,98376.85,31,4.3,4.7,0,1,63410.17
5/10/2025,1002,150,105,7430.72,5,3,2,2.03,25,37,19,24,0.6755,7053.67,11733.54,26613.76,184692.95,117104.55,48,4,6.1,1,0,34107.23
5/11/2025,1002,150,103,7979.29,8,3,1,1.68,16,25,19,43,0.6715,7729.03,64810.02,50959.69,315039.84,123954.49,52,3.7,8.6,0,5,57506.32
5/12/2025,1002,150,96,7991.71,2,1,5,2.12,18,24,17,37,0.6228,7396.04,39339.53,37179.99,149457.9,84067.76,38,4,1.5,0,3,63323.25
5/13/2025,1002,150,94,7782.88,11,0,0,1.03,14,23,30,27,0.6153,7734.8,36109.99,27169.03,174349.63,157411.3,43,4.6,9.5,0,3,66413.95
5/14/2025,1002,150,99,7521.76,3,0,5,1.71,11,37,23,28,0.6926,6806.19,31721.5,28250.12,223772.79,93916,72,4,0,0,3,62555.27
5/15/2025,1002,150,98,7323.29,11,4,0,1.99,22,40,18,18,0.6279,6901.08,27948.91,20447.51,362834.27,78348.21,46,3.9,0,0,3,70533.21
5/16/2025,1002,150,99,7819.75,5,0,0,1.69,20,30,18,31,0.6785,7046.15,33046.14,35732.48,133645.24,123033.08,26,4.1,5.6,0,2,57837.38
5/17/2025,1002,150,108,8091.71,10,0,3,2.14,20,40,24,24,0.6871,8412.54,48311.33,23892.63,351514.65,96780.93,34,4.3,2.8,0,4,61243.54
5/18/2025,1002,150,100,8173.68,2,0,2,1.53,22,31,21,26,0.6417,7718.52,56760.23,26656.61,154664.97,179258.43,49,3.8,5.9,0,1,55643.14
5/19/2025,1002,150,98,7960.88,7,0,0,1.71,15,29,25,29,0.6534,8270.35,37213.79,36846.06,154167.22,96747.9,36,4.2,0,0,2,66828.97
5/20/2025,1002,150,91,7947.56,8,0,0,1.5,25,26,27,13,0.5753,8166.06,44722.99,14759.37,122019.33,128892.88,53,4.4,6.7,0,2,66957.16
5/21/2025,1002,150,82,8023.13,4,1,4,1.85,12,17,14,39,0.5434,7330.92,10881.75,51565.09,287566.12,85601.03,30,3.3,11,0,2,35289.06
5/22/2025,1002,150,87,7853.43,3,0,3,1.8,19,25,28,15,0.5503,7597.33,75075.47,16231.48,152399.48,151346.63,35,3.8,6.4,0,2,63778.99
5/23/2025,1002,150,99,7738.58,4,1,4,1.73,12,33,16,38,0.66,7573.2,28700.08,47055.3,356772.9,120994.09,27,4.6,1.1,0,2,40738.99
5/24/2025,1002,150,105,8185.83,7,5,1,2.19,15,58,30,2,0.683,8310.1,51185.6,2703.09,175292.71,73582.55,27,4.3,0,1,6,80727.23
5/25/2025,1002,150,112,7640.48,8,0,2,1.31,16,42,16,38,0.7143,7702.44,52402.76,43795.05,284288.84,133787.02,37,4.3,6,0,5,68305.88
5/26/2025,1002,150,81,7635.15,3,1,2,1.7,15,15,22,29,0.5523,6952.71,66643.64,35343.7,294936.24,129612.09,41,3.9,0,0,3,58024.1
5/27/2025,1002,150,83,8185.25,4,0,3,1.61,13,30,12,28,0.5365,8036.69,23315.96,36907.93,255430.3,125668.36,36,4,0,0,1,25633.31
5/28/2025,1002,150,89,7817.08,4,1,1,2.01,9,27,14,39,0.5845,7250.44,42691.25,36709.05,298269.45,91678.83,41,3.9,13.5,1,1,33933.97
5/29/2025,1002,150,95,7987.09,3,0,1,1.83,13,27,10,45,0.6071,8264.42,78586.25,63302.88,345823.74,84354.52,40,3.9,1.1,0,3,40881.43
5/30/2025,1002,150,97,7821.12,6,1,1,2.09,7,35,23,32,0.6247,7102.77,20053.5,30311.37,291066.87,161846.79,46,3.7,0,1,4,59498.37
5/31/2025,1002,150,98,7756.24,3,1,3,1.79,23,23,19,33,0.6598,8006.74,23464.25,45443.72,306516.92,153007.51,44,3.9,0,0,1,58683.99
6/1/2025,1002,150,104,7359.53,2,1,1,1.48,16,31,24,33,0.7218,7398.63,40905.27,36537.36,153974.88,100739.91,5,4.2,10.9,1,3,40644.83
6/2/2025,1002,150,90,8159.64,5,0,0,1.39,13,27,15,35,0.5721,8390.35,54178.19,40417.83,305873.59,120178.25,36,4.2,8.1,0,2,36305.9
6/3/2025,1002,150,94,8008.93,3,0,1,2.16,15,22,16,41,0.657,8238.96,78618.28,47441.14,289029.44,163883.14,55,3.7,4.8,0,3,72421.18
6/4/2025,1002,150,81,8271.42,6,1,3,1.57,20,22,10,29,0.5686,8109.88,28044.49,36018.53,302354.53,62012.21,44,4.5,11.4,0,1,29137.68
6/5/2025,1002,150,93,7827.44,2,3,2,1.41,19,37,24,13,0.6057,7393.28,77416.59,12214.63,358561.67,167039.56,20,3.7,7.4,0,2,36812.72
6/6/2025,1002,150,98,7835.82,11,2,0,1.44,10,42,24,22,0.6404,7998.96,13880.31,24188.92,264088.79,142306.33,56,3.8,5.1,0,2,61937.62
6/7/2025,1002,150,96,8029.29,3,1,0,0.89,17,23,35,21,0.6571,8049.36,67464.34,22090.92,231509.94,86457.99,36,3.6,8.7,0,5,57030.05
6/8/2025,1002,150,105,7501.6,4,1,2,1.49,17,42,14,32,0.7102,7538.41,69462.51,30419.45,258540.25,125985.05,49,4.1,18.5,1,0,69820.98
6/9/2025,1002,150,97,7511.32,5,0,0,1.59,13,46,26,12,0.6347,7278.45,35857.38,12327.01,161480.39,183978.32,39,4,6.8,0,2,60075.62
